IndividualNumber,ROINumber,ImageLabel,IL_Site,IL_Number,IL_DV,TubeLabel,Event,TaxonCode,Family,Subfamily,Supertribe,Tribe,Subtribe,Genus,Group,SubspeciesEpithet,SpeciesName,Area_SQ_mm_Dorsal,Perimeter_Dorsal,BBWidth_Dorsal,BBHeight_Dorsal,MajorAxis_Dorsal,MinorAxis_Dorsal,Angle_Dorsal,Circ_Dorsal,Feret_Dorsal,IntDen_Dorsal,RawIntDen_Dorsal,FeretX_Dorsal,FeretY_Dorsal,FeretAngle_Dorsal,MinFeret_Dorsal,AR_Dorsal,Round_Dorsal,Solidity_Dorsal,Area_SQ_mm_Ventral,Perimeter_Ventral,BBWidth_Ventral,BBHeight_Ventral,MajorAxis_Ventral,MinorAxis_Ventral,Angle_Ventral,Circ_Ventral,Feret_Ventral,IntDen_Ventral,RawIntDen_Ventral,FeretX_Ventral,FeretY_Ventral,FeretAngle_Ventral,MinFeret_Ventral,AR_Ventral,Round_Ventral,Solidity_Ventral,cIL_Site,cIL_Number,cROINumber,mean_Red_Dorsal,stddev_Red_Dorsal,min_Red_Dorsal,max_Red_Dorsal,intden_Red_Dorsal,skew_Red_Dorsal,kurt_Red_Dorsal,rawintdens_Red_Dorsal,mean_Green_Dorsal,stddev_Green_Dorsal,min_Green_Dorsal,max_Green_Dorsal,intden_Green_Dorsal,skew_Green_Dorsal,kurt_Green_Dorsal,rawintdens_Green_Dorsal,mean_Blue_Dorsal,stddev_Blue_Dorsal,min_Blue_Dorsal,max_Blue_Dorsal,intden_Blue_Dorsal,skew_Blue_Dorsal,kurt_Blue_Dorsal,rawintdens_Blue_Dorsal,mean_Red_Ventral,stddev_Red_Ventral,min_Red_Ventral,max_Red_Ventral,intden_Red_Ventral,skew_Red_Ventral,kurt_Red_Ventral,rawintdens_Red_Ventral,mean_Green_Ventral,stddev_Green_Ventral,min_Green_Ventral,max_Green_Ventral,intden_Green_Ventral,skew_Green_Ventral,kurt_Green_Ventral,rawintdens_Green_Ventral,mean_Blue_Ventral,stddev_Blue_Ventral,min_Blue_Ventral,max_Blue_Ventral,intden_Blue_Ventral,skew_Blue_Ventral,kurt_Blue_Ventral,rawintdens_Blue_Ventral
2,1,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,89.05,114.581,12.182,22.364,15.464,7.332,77.456,0.085,22.417,7609.86,920793,24.273,30,86.047,11.366,2.109,0.474,0.463,105.099,101.27,12.909,20.455,17.44,7.673,80.833,0.129,20.561,9667.24,1169740,23.818,36.545,84.163,11.356,2.273,0.44,0.539,BLAN,1,1,61.475,36.769,5,170,908.635,0.582,-0.89,662395,53.917,35.201,0,163,796.929,0.634,-0.754,580961,51.094,33.429,0,159,755.199,0.641,-0.735,550540,60.223,37.048,3,192,1204.46,1.247,0.748,878053,48.959,33.107,0,186,979.173,1.493,2.108,713817,44.068,29.68,0,183,881.361,1.866,4.172,642512
5,8,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,94.099,85.189,10.545,16.364,14.841,8.073,67.983,0.163,17.258,8117.31,982195,73.727,30.364,69.656,9.693,1.838,0.544,0.771,94.504,95.85,13.091,15.545,14.776,8.143,67.141,0.129,16.8,8218.7,994463,61,32.364,65.376,12.069,1.814,0.551,0.66,BLAN,1,8,54.609,34.494,7,195,852.925,1.006,0.023,621782,48.258,32.831,1,192,753.722,1.049,0.262,549463,46.684,31.767,1,191,729.14,1.045,0.376,531543,46.297,23.071,4,153,612.469,1.706,3.275,446490,38.364,22.533,0,146,507.527,1.637,3.428,369987,36.346,21.028,0,142,480.824,1.612,3.395,350521
16,14,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,95.256,64.863,9.091,21.636,17.674,6.862,83.35,0.285,22.072,8119.15,982417,56.455,56.818,78.598,8.849,2.575,0.388,0.729,92.463,65.276,9.091,22.727,18.212,6.464,95.402,0.273,22.732,7926.26,959077,59.727,35.091,91.146,8.1,2.817,0.355,0.713,BLAN,1,14,41.016,28.528,3,191,648.495,1.734,2.439,472753,36.282,27.042,0,195,573.643,1.712,2.605,418186,34.842,26.174,0,218,550.87,1.757,3.124,401584,52.003,30.594,9,195,1047.27,1.585,1.982,763461,42.687,29.445,0,190,859.656,1.543,2.294,626689,40.454,27.182,0,187,814.675,1.628,2.917,593898
17,13,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,122.182,112.94,15.909,22.364,18.594,8.366,60.481,0.12,22.803,10557.8,1277500,67.545,55.455,78.735,11.501,2.222,0.45,0.619,121.331,119.548,13.727,22.182,18.361,8.414,106.232,0.107,23.043,10423.2,1261210,70.909,35.455,121.119,13.615,2.182,0.458,0.586,BLAN,1,13,49.723,33.522,3,196,1008.38,1.302,0.816,735112,44.66,31.69,0,193,905.704,1.425,1.345,660258,43.369,31.158,1,213,879.509,1.54,2.035,641162,46.486,26.014,3,181,713.417,2.165,5.526,520081,38.465,24.959,0,177,590.32,2.189,6.17,430343,36.746,23.162,0,174,563.948,2.217,6.977,411118
18,20,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,79.347,77.012,10,19.545,16.312,6.193,74.545,0.168,19.712,6871.67,831472,86.273,41.636,104.421,9.396,2.634,0.38,0.557,80.884,73.695,10.909,18.636,16.08,6.405,97.216,0.187,18.659,6893.46,834109,89.545,55.636,87.207,9.492,2.511,0.398,0.624,BLAN,1,20,54.413,32.808,7,188,716.63,1.383,1.387,522423,48.378,30.75,1,178,637.143,1.438,1.768,464477,45.87,29.141,1,181,604.112,1.489,2.04,440398,53.094,29.43,5,189,828.531,1.844,3.276,603999,44.301,28.254,2,186,691.311,2.008,4.282,503966,41.811,26.221,0,181,652.458,2.178,5.507,475642
21,24,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,100.256,114.501,12.545,18.364,16.93,7.54,90.041,0.096,19.032,8548.17,1034330,130.818,62.727,71.046,12.545,2.245,0.445,0.509,97.686,90.5,16,16.545,16.982,7.324,113.284,0.15,19.358,8370.17,1012790,130.273,38.636,133.287,11.854,2.319,0.431,0.584,BLAN,1,24,46.399,29.679,6,159,772.102,1.737,2.251,562862,40.413,26.75,1,152,672.498,1.757,2.473,490251,38.56,24.567,0,169,641.657,1.756,2.787,467768,49.19,25.848,3,157,700.335,1.626,2.347,510544,41.663,24.446,0,134,593.17,1.591,2.289,432421,39.7,22.668,0,125,565.215,1.575,2.446,412042
22,18,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,109.306,101.67,9.909,24.545,18.725,7.433,82.28,0.133,25.032,9601.32,1161760,145.636,65.091,78.69,9.836,2.519,0.397,0.549,111.331,102.091,11,24.636,18.665,7.594,92.494,0.134,24.787,9785.21,1184010,152,37.364,96.317,10.098,2.458,0.407,0.624,BLAN,1,18,53.07,36.285,7,178,962.835,1.492,1.35,701907,47.198,34.241,2,174,856.306,1.626,1.987,624247,45.453,32.436,1,172,824.632,1.708,2.488,601157,50.996,30.188,5,176,954.372,1.841,3.067,695737,42.693,29.259,0,171,798.989,1.861,3.519,582463,40.913,27.445,0,166,765.671,1.924,4.027,558174
20,15,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,117.248,92.34,13.182,23.455,20.285,7.359,84.705,0.173,23.484,11079.4,1340600,122,36.636,92.885,11.29,2.756,0.363,0.57,112.752,85.336,16.182,19.091,19.324,7.429,124.956,0.195,21.279,9748.68,1179590,111.545,38.364,130.495,9.594,2.601,0.384,0.646,BLAN,1,15,62.69,47.459,5,209,1220.01,1.127,-0.062,889386,57.795,46.441,3,216,1124.73,1.192,0.139,819932,55.894,45.44,1,236,1087.74,1.204,0.217,792962,49.203,24.284,12,160,660.565,1.996,4.271,481552,40.058,23.397,0,151,537.785,1.858,3.905,392045,37.502,21.657,0,148,503.476,1.835,4.059,367034
19,16,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,93.917,89.174,11.273,20.636,17.316,6.906,64.638,0.148,21.191,8021.09,970552,104.273,57.909,76.858,8.67,2.508,0.399,0.628,108.57,97.156,10.273,21.091,18.113,7.632,102.575,0.145,21.169,9263.5,1120880,102.636,59.364,85.073,9.811,2.373,0.421,0.668,BLAN,1,16,51.953,29.043,7,165,809.871,1.48,1.462,590396,47.026,26.915,2,162,733.064,1.539,1.78,534404,45.462,25.702,4,156,708.683,1.537,1.906,516630,53.896,29.257,14,173,873.875,1.645,2.121,637055,43.286,28.393,0,159,701.833,1.589,2.199,511636,41.046,25.88,0,156,665.524,1.638,2.744,485167
23,17,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,82.24,80.506,11.727,15.909,15.593,6.715,65.042,0.159,17.41,7081.05,856807,163,54.364,65.308,9.815,2.322,0.431,0.669,94.017,89.666,10,18.636,17.259,6.936,85.83,0.147,18.663,8108.3,981104,169.909,38.909,93.071,9.778,2.489,0.402,0.647,BLAN,1,17,50.969,33.933,3,174,695.741,1.163,0.649,507195,44.369,32.141,1,167,605.645,1.158,0.825,441515,42.646,30.536,0,165,582.129,1.138,0.934,424372,56.162,35.46,3,193,1037.81,1.79,2.95,756563,46.732,34.116,0,189,863.543,2.002,4.127,629523,44.069,32.145,0,187,814.346,2.151,5.063,593658
24,19,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,116.231,96.422,14.727,18.273,17.835,8.298,107.302,0.157,19.519,9905.46,1198560,182.182,40.909,115.372,12.796,2.149,0.465,0.633,111.603,84.897,13.091,19.636,17.872,7.951,84.967,0.195,19.638,9525.87,1152630,184.182,41.636,90.796,11.783,2.248,0.445,0.672,BLAN,1,19,44.733,28.823,6,197,863.005,1.612,1.946,629131,39.844,27.262,1,189,768.676,1.665,2.35,560365,38.961,25.801,1,221,751.635,1.718,2.912,547942,47.016,26.668,1,161,847.248,1.721,3.015,617644,39.491,25.27,0,141,711.657,1.573,2.759,518798,37.657,23.684,0,139,678.595,1.538,2.875,494696
13,21,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,100.868,69.284,8.909,20.182,19.537,6.574,75.368,0.264,20.643,8685.21,1050910,7.091,61.909,74.678,8.278,2.972,0.336,0.749,113.917,75.266,10,21.091,20.032,7.241,83.764,0.253,21.33,9817,1187860,10.636,63.091,81.421,9.207,2.767,0.361,0.738,BLAN,1,21,50.912,35.337,3,201,852.379,1.123,0.421,621384,44.924,33.784,2,204,752.122,1.21,0.833,548297,42.235,32.669,0,206,707.107,1.26,1.147,515481,48.975,26.549,1,190,907.211,1.752,3.439,661357,41.044,25.556,0,186,760.299,1.726,3.616,554258,39.352,23.722,0,183,728.959,1.669,3.811,531411
15,22,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,106.355,101.222,18.818,17.909,14.961,9.051,69.113,0.13,19.474,9050.26,1095080,30.364,54.364,30.276,13.373,1.653,0.605,0.539,94.24,73.681,12.636,15.455,16.598,7.229,58.389,0.218,16.944,8034.16,972133,39.273,57.273,55.713,10.369,2.296,0.436,0.718,BLAN,1,22,47.397,29.316,2,165,836.695,1.414,1.108,609951,42.676,27.339,1,148,753.35,1.445,1.245,549192,41.022,25.836,1,142,724.156,1.446,1.38,527910,50.992,31.402,2,192,964.163,1.705,2.552,702875,43.312,29.412,0,186,818.952,1.872,3.664,597016,40.696,27.101,0,186,769.486,2.036,4.803,560955
14,23,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160707.CYCFUR.01,BLAN_001.20160707,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,87.802,79.466,11.091,18.455,15.739,7.103,66.985,0.175,20.167,7489.73,906257,21.455,61.727,62.626,8.886,2.216,0.451,0.649,85.777,85.979,13.455,19.727,15.652,6.978,63.704,0.146,21.021,7292.07,882340,20.455,62.727,67.094,9.186,2.243,0.446,0.596,BLAN,1,23,46.569,31.986,3,193,678.669,1.393,1.023,494750,41.557,30.512,0,200,605.62,1.451,1.348,441497,39.521,29.806,1,226,575.956,1.478,1.715,419872,46.256,24.613,5,182,723.539,1.899,3.982,527460,39.171,23.178,0,175,612.716,1.899,4.286,446670,37.082,21.465,0,171,580.03,1.932,4.879,422842
27,26,BLAN_01_DORSAL.tif,BLAN,1,Dorsal,BLAN_001.20160623.CYCFUR.01,BLAN_001.20160626,CYCFUR,Carabidae,Harpalinae,Pterostichitae,Pterostichini,Pterostichini,Cyclotrachelus,sodalis,furtivus,Cyclotrachelus furtivus,124.099,93.395,13.727,20,19.119,8.264,75.372,0.179,20.463,11190.5,1354060,44.636,103.091,76.643,12.463,2.313,0.432,0.599,117.727,110.235,13.909,20.636,17.625,8.505,90.885,0.122,22.514,10098.6,1221930,37.273,104.636,66.437,13.246,2.072,0.483,0.539,BLAN,1,26,51.205,40.536,4,185,1054.73,1.706,1.944,768898,45.667,39.376,0,185,940.65,1.789,2.414,685734,44.122,38.251,0,198,908.831,1.812,2.584,662538,51.053,32.003,1,200,993.534,2.109,4.707,724286,43.673,31.099,0,196,849.919,2.209,5.555,619591,41.864,29.578,0,193,814.72,2.318,6.412,593931
